method,name,t,st,y0,sy0,type,reference
Lu-Hf,Hogsbo_gt,1029.7,0.7,3.55,0.05,isochron,Romer and Smeds (1996)
Lu-Hf,BP_gt,1745,7,3.55,0.05,isochron,Lane (2011)
Lu-Hf,ME-1_cc,1531,7,3.547973929,0.00046576,isochron,Simpson et al. (2021)
Lu-Hf,TS_mz,910.42,0.17,3.55,0.05,isochron,Budzyn et al. (2021)
Lu-Hf,Madel_mz,513.9,0.8,3.55,0.05,isochron,Payne et al. (2008)
Lu-Hf,Diamantina_mz,495.26,0.27,3.55,0.05,isochron,Goncalves et al. (2017)
Lu-Hf,222_mz,449.7,1.5,3.55,0.05,isochron,Richter et al. (2019)
Lu-Hf,RW1_mz,904.15,0.13,3.55,0.05,isochron,Ling et al. (2016)
Rb-Sr,MDC_bt,519.4,3.25,1.37728,0.00066,isochron,Hogmalm et al. (2017)
Rb-Sr,Mica-MG_pp,519.4,3.25,1.37728,0.00035,isochron,Hogmalm et al. (2017)
U-Pb,Plesovice_zr,337.13,0.1875,0.8582,0.001,isochron,Slama et al. (2008)
U-Pb,91500_zr,1063.78,0.33,0.9141,0.001,isochron,Wiedenbeck et al. (2004)
U-Pb,WC1_cc,254.4,3.2,0.85,0.02,isochron,Roberts et al. (2017)
U-Pb,RA138_cc,321.99,0.325,0.8495,0.00325,isochron,Guillong et al. (2024)
U-Pb,McClure_ap,524.5,1.85,0.88198,0.001,isochron,Schoene and Bowring (2006)
U-Pb,Durango_ap,32.683,0.025,0.861462,0.013,isochron,Paul et al. (2021)
U-Pb,401_ap,530.3,0.75,0.8720402,0.001,isochron,Thompson et al. (2016)
U-Pb,OD306_ap,1596.7,3.55,0.9620965,0.001,isochron,Thompson et al. (2016)
Rb-Sr,EntireCreek_bt,312.1,2.535,1.37701,0.000345,isochron,mortimer et al. (1987)
Lu-Hf,GWA-1_gt,1267,1.5,3.553471,0.0001515,isochron,Ribeiro et al. (2024)
Lu-Hf,GWA-2_gt,934.7,0.7,3.553837078,0.0001642,isochron,Ribeiro et al. (2024)
U-Pb,MAD_ap,475,4,0.71,0.1,isochron,Apen et al. (2022)
U-Pb,222_mz,449.7,1.5,0.86619,0.001,isochron,Richter et al. (2019)
U-Pb,TS_mz,910.42,0.17,0.90137,0.001,isochron,Budzyn et al. (2021)
U-Pb,Madel_mz,513.9,0.8,0.870959,0.001,isochron,Payne et al. (2008)
U-Pb,Diamantina_mz,495.26,0.27,0.869446,0.001,isochron,Goncalves et al. (2017)
U-Pb,RW1_mz,904.15,0.13,0.9008961,0.0001,isochron,Ling et al. (2016)
K-Ca,MDC_bt,519.4,3.25,0.021569,0.00001,isochron,Hogmalm et al. (2017)
K-Ca,EntireCreek_bt,312.1,2.535,0.021569,0.00001,isochron,Mortimer et al. (1987)
U-Pb,NW-1_ap,1060,2.5,0.9137766,0.0004,isochron,Li et al. (2012)
U-Pb,EmeraldLake_ap,95.17,0.52,0.8318,0.002,isochron,Apen et al. (2025)
U-Pb,ASH15_cc,2.965,0.0055,0.8306,0.00165,isochron,Nuriel et al. (2021)
U-Pb,NIST612,5099.71,0.2,0.907336,0.000126,point,Woodhead and Hergt (2011)
U-Pb,NIST610,5103.51,0.087,0.909779,0.0000563,point,Woodhead and Hergt (2011)
